Call of Duty Black Ops	80	5.8	9	8	Superb	 Fight through a globe-trotting campaign or test your skills online competition in this fast-paced first-person shooter.	 Action Shooter Shooter First-Person Historic Historic Arcade 	M	Activision	7.5	8.2	http://www.ign.com/wikis/create?objectid=14349503	https://www.gamespot.com/call-of-duty-black-ops/	"Nov. 9, 2010"	PC PS3 X360 WII DS MAC
Call of Duty Ghosts	78	4.2	8	4.8	Great	" Call of Duty: Ghosts delivers an all-new story, all-new multiplayer action, and is powered by the next-generation Call of Duty engine."	 Action Shooter Shooter First-Person Modern Modern Arcade 	M	Activision	8.8	5.9	http://www.ign.com/wikis/call-of-duty-ghosts	https://www.gamespot.com/call-of-duty-ghosts/	"Nov. 5, 2013"	X360 PS3 PC PS4 XONE WIIU
Call of Duty Infinite Warfare	78	3.4	8	6.5	Great	" Call of Duty: Infinite Warfare will lead players through an unforgettable journey as they engage in heroic battles with hallmark boots-on-the-ground combat. The campaign spans our solar system, taking players ..."	 Action Shooter First-Person Tactical 	M	Activision	7.7	5.2	http://www.ign.com/wikis/call-of-duty-infinite-warfare	https://www.gamespot.com/call-of-duty-infinite-warfare/	"Nov. 4, 2016"	PS4 XONE PC
Call of Duty Modern Warfare 2	86	4.2	8.5	8.1	Great	" Modern Warfare 2 features an intense single-player campaign, a number of cooperative missions, and deep competitive multiplayer."	 Action Shooter First-Person Modern Shooter Modern Arcade 	M	Activision	9.5	8.9	http://www.ign.com/wikis/call-of-duty-modern-warfare-2	https://www.gamespot.com/call-of-duty-modern-warfare-2/	"Nov. 10, 2009"	PC PS3 X360 MAC
Call of Duty Modern Warfare 3	78	2.7	8.5	7.1	Great	 Call of Duty: Modern Warfare 3 is the next chapter in the best-selling Call of Duty first-person shooter action series.	 Action Shooter First-Person Modern Shooter Modern Arcade 	M	Activision	9	8.2	http://www.ign.com/wikis/call-of-duty-modern-warfare-3	https://www.gamespot.com/call-of-duty-modern-warfare-3/	"Nov. 8, 2011"	X360 PS3 PC WII MAC
Call of Duty World at War	83	7.5	8.5	8.4	Great	" Using the Call of Duty 4 engine, Treyarch brings the franchise back to World War II, including taking on Imperial Japanese forces in the Pacific."	 Action Shooter First-Person Historic Shooter Historic Arcade 	M	Activision Activision Blizzard	9.2	8.6	http://www.ign.com/wikis/call-of-duty-world-at-war	https://www.gamespot.com/call-of-duty-world-at-war/	"Nov. 10, 2008"	PC PS3 X360 WII DS
Call of Duty WWII	80	4.4	9	5.6	Superb	" In Call of Duty: WWII, players will battle across Europe through strategic locations in history’s most monumental war."	 Action Shooter First-Person Arcade 	M	Activision	8	7.1	http://www.ign.com/wikis/call-of-duty-ww2	https://www.gamespot.com/call-of-duty-wwii/	"Nov. 3, 2017"	PS4 XONE PC
Castle Crashers	82	8.8	8.5	8.7	Great	" Castle Crashers is a four-player game for the PlayStation Network, where players are knights on a quest to regain a stolen idol."	 Action Beat-'Em-Up 2D Beat-'Em-Up 	T	The Behemoth	8.5	8.6	http://www.ign.com/wikis/castle-crashers	https://www.gamespot.com/castle-crashers/	"Aug. 27, 2008"	X360 PS3 PC MAC XONE
Castlevania Symphony of the Night	89	8.6	8.9	8.8	Great	 Quite possibly the best 2D action side scroller ever.	 Action Role-Playing Platformer 2D Platformer 2D Action RPG 	T	Konami	9	9.2	http://www.ign.com/wikis/castlevania-symphony-of-the-night	https://www.gamespot.com/castlevania-symphony-of-the-night/	"Oct. 2, 1997"	PS X360 SAT
Catherine	79	8.1	8.5	8.2	Great	 Catherine is an action adventure game from Atlus.	 Action Adventure Horror Horror Survival 	M	Atlus	9	8.8	http://www.ign.com/wikis/catherine	https://www.gamespot.com/catherine/	"Jul. 26, 2011"	X360 PS3
